연번,수송일자,호선,역명,승하차구분,06시이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시이후
1132,2022-02-26,2호선,신림,하차,98,490,675,1132,1374,1459,1802,2276,2578,2674,2978,3608,3950,4143,3159,2694,3004,3311,1589,
1133,2022-02-26,2호선,홍대입구,승차,247,354,540,805,1014,1120,1632,2093,2516,2865,3312,3881,4436,4599,3786,4204,5995,6900,814,
1134,2022-02-26,2호선,홍대입구,하차,107,357,430,871,1967,2497,3663,4984,5366,5544,5781,5724,5311,4031,2277,1246,1045,1157,604,
1135,2022-02-26,4호선,서울역,승차,111,134,140,199,264,245,312,375,345,350,324,336,360,306,188,193,205,175,45,
1136,2022-02-26,4호선,서울역,하차,19,235,334,459,736,669,650,827,863,696,822,693,803,675,587,392,438,427,169,
1137,2022-02-26,4호선,사당,승차,218,311,540,875,1184,1229,1214,1302,1371,1283,1289,1090,1218,940,859,767,935,854,142,
1138,2022-02-26,4호선,사당,하차,48,528,284,428,598,709,848,1082,1034,1041,1230,1307,1405,1256,777,606,717,841,413,
1139,2022-02-26,7호선,건대입구,승차,85,90,163,276,299,321,424,545,488,563,767,730,879,785,583,665,664,619,142,
1140,2022-02-26,7호선,건대입구,하차,27,141,272,428,561,544,647,674,834,797,759,786,751,600,419,304,249,241,147,
1141,2022-02-27,1호선,서울역,승차,126,163,250,492,708,1054,1383,1456,1558,1365,1592,1927,1892,1608,1527,1279,1533,1062,339,
1142,2022-02-27,1호선,서울역,하차,79,405,628,866,1295,1107,1013,1516,1455,1535,1563,1533,1534,1304,1241,1028,759,563,168,
1143,2022-02-27,2호선,잠실,승차,156,355,558,935,1212,1451,1674,2253,2455,2650,3116,3754,3799,3434,3237,4228,3801,1754,267,
1144,2022-02-27,2호선,잠실,하차,53,452,617,1285,2596,2382,2687,2837,3450,2982,3176,3194,3060,2523,1869,1552,1581,1727,467,
1145,2022-02-27,2호선,삼성,승차,71,121,165,185,297,338,566,802,1171,1278,1752,2402,2468,2506,1892,2163,1484,956,125,
1146,2022-02-27,2호선,삼성,하차,34,441,575,1016,1574,1786,1962,2062,2431,2104,1709,1393,1126,737,489,301,284,270,148,
1147,2022-02-27,2호선,강남,승차,126,279,282,406,680,784,1013,1440,1746,1984,2042,2430,2681,2555,2145,2340,3547,3687,484,
1148,2022-02-27,2호선,강남,하차,89,435,568,1022,1892,1539,1831,2307,2846,2421,2248,2757,2836,2333,1399,1055,848,838,298,
1149,2022-02-27,2호선,사당,승차,142,224,361,573,923,905,1004,1304,1314,1410,1426,1502,1435,1320,1133,1024,1227,1164,199,
1150,2022-02-27,2호선,사당,하차,28,547,326,478,1073,1126,999,1314,1370,1356,1557,1703,1736,1555,1297,1108,1272,1206,458,
1151,2022-02-27,2호선,신림,승차,457,909,1192,2017,2716,2325,2375,2715,2582,2450,2353,2343,2258,1876,1441,1238,1349,1221,247,
1152,2022-02-27,2호선,신림,하차,65,350,440,616,988,1205,1208,1620,1940,1973,2237,2510,2622,3249,2582,2530,2885,2796,1301,
1153,2022-02-27,2호선,홍대입구,승차,173,229,313,513,689,730,1210,1661,1925,2190,2854,3401,3942,4017,3963,4311,5496,5356,647,
1154,2022-02-27,2호선,홍대입구,하차,44,213,325,492,1090,1700,3136,4208,4883,4713,5007,4481,4118,3213,1941,1248,906,987,504,
1155,2022-02-27,4호선,서울역,승차,67,93,98,142,228,226,256,277,281,253,274,240,303,241,221,158,166,132,29,
1156,2022-02-27,4호선,서울역,하차,7,147,247,297,507,433,409,554,535,622,619,646,616,635,570,428,425,334,137,
1157,2022-02-27,4호선,사당,승차,121,185,278,537,825,870,943,1102,983,1032,967,944,799,735,598,637,701,508,86,
1158,2022-02-27,4호선,사당,하차,16,307,193,279,500,549,591,756,853,753,888,975,1036,1144,758,711,594,700,266,
1159,2022-02-27,7호선,건대입구,승차,43,61,116,165,236,224,259,387,388,416,494,572,590,570,560,637,482,492,126,
1160,2022-02-27,7호선,건대입구,하차,26,92,101,192,334,371,379,514,605,620,554,655,593,521,372,225,246,184,130,
1161,2022-02-28,1호선,서울역,승차,302,371,1365,1986,1501,1347,1674,1731,2084,1873,2079,2384,3874,5955,2879,1804,2096,1472,367,
1162,2022-02-28,1호선,서울역,하차,210,1279,2885,6465,3643,1838,1591,1758,1696,1537,1562,1644,2001,2251,1492,876,782,689,310,
1163,2022-02-28,2호선,잠실,승차,355,1612,3868,4964,3357,2142,2177,2428,2528,2780,3227,3662,4700,5887,4092,4482,3750,2347,418,
1164,2022-02-28,2호선,잠실,하차,144,1008,2220,4892,4419,3176,2900,2831,2723,3160,3139,3446,4324,6624,4616,2566,2456,2662,844,
1165,2022-02-28,2호선,삼성,승차,117,200,438,644,689,751,1072,1193,1423,1872,2426,2898,5141,8744,4263,3104,2664,2130,292,
1166,2022-02-28,2호선,삼성,하차,207,1280,3874,10201,6396,2534,1868,1827,1923,1616,1521,1369,1564,1737,940,527,396,387,203,
1167,2022-02-28,2호선,강남,승차,184,483,1294,2044,1477,1776,2469,2908,3406,3804,4727,5272,7743,11450,7167,5181,6260,6574,948,
1168,2022-02-28,2호선,강남,하차,440,1838,5226,11306,10901,5092,3476,3536,4112,3678,3326,3683,4243,5784,3172,1403,1066,1164,390,
1169,2022-02-28,2호선,사당,승차,377,736,2455,3132,2145,1350,1235,1481,1501,1326,1466,1544,2042,2892,1728,1390,1708,1994,295,
1170,2022-02-28,2호선,사당,하차,102,840,1382,2206,1462,1314,1346,1287,1378,1417,1729,2244,3157,4782,3331,1870,1690,2101,877,
1171,2022-02-28,2호선,신림,승차,1314,2607,6940,10555,5970,2934,2409,2566,2370,2313,2220,2338,2721,2965,1883,1397,1485,1550,295,
1172,2022-02-28,2호선,신림,하차,99,564,1002,2218,1568,1427,1515,1626,2029,2294,2710,3522,4756,8743,7155,4298,3664,4499,1964,
1173,2022-02-28,2호선,홍대입구,승차,351,628,1931,2282,1551,1123,1334,1715,1900,2033,2623,3078,4101,5218,4050,3809,4988,5489,721,
1174,2022-02-28,2호선,홍대입구,하차,98,467,1035,3400,3674,2241,2683,3399,3561,3508,3730,3770,4498,6180,3943,1654,1277,1278,715,
1175,2022-02-28,4호선,서울역,승차,153,177,407,490,349,268,387,378,391,374,418,481,1282,1817,673,371,399,336,62,
1176,2022-02-28,4호선,서울역,하차,27,322,1121,2607,1142,605,547,671,610,631,641,661,867,931,642,472,376,365,187,
1177,2022-02-28,4호선,사당,승차,329,705,2415,2600,1946,1124,945,995,921,913,955,976,1143,1386,852,706,864,890,128,
1178,2022-02-28,4호선,사당,하차,39,457,660,1129,760,674,693,728,715,727,915,1104,1482,2531,1638,928,825,1011,531,
1179,2022-02-28,7호선,건대입구,승차,99,128,377,627,465,391,477,480,522,600,737,887,1198,1096,756,797,671,636,183,
1180,2022-02-28,7호선,건대입구,하차,22,247,713,1229,823,650,602,696,708,709,675,667,767,1135,861,427,318,371,210,
1181,2022-03-01,1호선,서울역,승차,237,196,288,476,647,1082,1308,1530,1611,1415,1743,1945,1873,1595,1474,1107,1346,933,286,
1182,2022-03-01,1호선,서울역,하차,134,526,698,881,1217,1322,1617,1678,1369,1378,1514,1416,1421,1212,997,877,664,503,143,
1183,2022-03-01,2호선,잠실,승차,188,456,599,942,1228,1481,1854,2155,2351,2538,2951,3237,3644,3284,3643,3774,3587,1945,275,
1184,2022-03-01,2호선,잠실,하차,72,620,777,1317,2475,2342,2452,2801,2868,3108,3111,3496,2893,2402,1846,1603,1609,1751,458,
1185,2022-03-01,2호선,삼성,승차,120,144,201,218,265,320,468,666,937,1115,1279,1808,1896,1969,1543,1892,1573,1176,165,
1186,2022-03-01,2호선,삼성,하차,41,568,755,1258,1640,1444,1476,1499,1560,1299,1252,1101,911,751,516,337,302,263,127,
1187,2022-03-01,2호선,강남,승차,161,283,283,440,607,814,1099,1499,1823,1939,2390,2864,3106,2729,2712,2832,3913,3841,493,
1188,2022-03-01,2호선,강남,하차,132,733,938,1504,2627,2208,1933,2552,2867,2582,2345,2642,2582,2357,1422,911,752,821,298,
1189,2022-03-01,2호선,사당,승차,210,384,463,671,851,953,981,1227,1269,1318,1303,1413,1509,1265,1251,1167,1381,1112,160,
1190,2022-03-01,2호선,사당,하차,35,594,375,460,821,1025,1145,1253,1264,1252,1461,1653,1858,1592,1291,1169,1254,1274,473,
1191,2022-03-01,2호선,신림,승차,718,1193,1399,2243,2692,2418,2478,2738,2507,2341,2304,2332,2237,1977,1423,1308,1408,1367,268,
1192,2022-03-01,2호선,신림,하차,80,473,574,707,947,1190,1380,1803,1818,1917,2313,2709,3155,2978,2815,2633,2986,2866,1356,
1193,2022-03-01,2호선,홍대입구,승차,231,259,401,529,672,722,1061,1399,1607,2052,2566,3518,4113,3859,4123,4438,5462,4987,602,
1194,2022-03-01,2호선,홍대입구,하차,55,304,317,599,1150,1700,2931,4246,4662,4489,4657,4510,3873,3094,1822,1154,1005,956,496,
1195,2022-03-01,4호선,서울역,승차,111,91,112,132,188,195,231,215,300,227,272,244,336,240,211,165,153,143,47,
1196,2022-03-01,4호선,서울역,하차,27,144,179,275,374,349,476,558,464,415,415,459,563,411,390,374,306,302,104,
1197,2022-03-01,4호선,사당,승차,178,279,434,450,766,851,918,1011,920,816,782,824,811,675,675,680,695,542,74,
1198,2022-03-01,4호선,사당,하차,25,312,212,275,463,498,647,779,792,804,899,949,1049,913,717,588,664,658,298,
1199,2022-03-01,7호선,건대입구,승차,72,74,111,183,184,221,314,326,427,445,630,628,710,647,587,720,665,508,107,
1200,2022-03-01,7호선,건대입구,하차,22,127,179,247,357,398,482,568,661,678,616,660,661,543,383,331,260,252,132,
1201,2022-03-02,1호선,서울역,승차,285,407,1544,2351,1687,1191,1467,1596,1696,1576,1902,2276,3995,6598,2777,1735,1652,1138,236,
1202,2022-03-02,1호선,서울역,하차,280,1431,3429,7492,4008,1664,1516,1481,1540,1242,1486,1379,1791,2137,1277,786,645,586,230,
1203,2022-03-02,2호선,잠실,승차,387,1669,4570,5964,4138,2281,2032,2186,2240,2280,2449,2953,4465,6043,3609,3178,3081,2489,349,
1204,2022-03-02,2호선,잠실,하차,178,1059,2545,5773,3640,2350,2356,2231,2447,2323,2453,3135,4847,7780,4862,2798,2411,2457,729,
1205,2022-03-02,2호선,삼성,승차,133,229,522,791,733,750,997,1050,1312,1659,2289,2795,6061,10752,5184,3581,2933,2430,268,
1206,2022-03-02,2호선,삼성,하차,197,1390,5091,12887,8053,2587,1691,1420,1784,1377,1380,1247,1415,1760,989,487,436,369,185,
1207,2022-03-02,2호선,강남,승차,165,546,1430,2496,1787,1593,2035,2447,2781,3279,4131,4760,7812,12432,7514,5249,6192,5454,616,
1208,2022-03-02,2호선,강남,하차,447,1972,5896,12450,11473,4912,3060,3000,3497,3072,2797,3089,3655,5254,2870,1375,961,984,348,
1209,2022-03-02,2호선,사당,승차,390,932,2918,3788,2417,1362,1195,1331,1340,1296,1371,1560,2189,3289,1850,1450,1580,1384,202,
1210,2022-03-02,2호선,사당,하차,121,875,1747,2651,1714,1226,1261,1201,1292,1381,1658,2021,3091,4966,3581,1951,1717,1860,624,
1211,2022-03-02,2호선,신림,승차,1347,2919,8276,12270,6538,2876,2266,2428,2209,2225,2094,2291,2618,2994,1594,1293,1215,1194,197,
1212,2022-03-02,2호선,신림,하차,112,639,1280,2381,1709,1406,1557,1723,1845,1936,2647,3446,4607,9823,8063,4414,3896,4187,1703,
1213,2022-03-02,2호선,홍대입구,승차,364,772,2217,2806,1698,1084,1353,1565,1822,1986,2361,2953,3815,5142,3710,3070,4036,4099,417,
1214,2022-03-02,2호선,홍대입구,하차,96,517,1239,4164,4574,2306,2361,2503,2723,2583,2922,3035,3935,5353,3633,1492,1083,1276,546,
1215,2022-03-02,4호선,서울역,승차,145,199,481,600,440,307,327,375,386,409,474,466,1409,2091,762,453,380,325,59,
1216,2022-03-02,4호선,서울역,하차,30,400,1244,2978,1379,596,489,578,566,508,557,620,705,874,583,369,339,316,139,
1217,2022-03-02,4호선,사당,승차,344,878,2823,3222,2235,1077,828,929,901,851,811,967,1206,1563,903,635,757,656,99,
1218,2022-03-02,4호선,사당,하차,43,471,806,1423,944,653,683,757,650,720,880,1116,1588,2599,1939,991,775,935,400,
1219,2022-03-02,7호선,건대입구,승차,109,149,432,724,592,465,485,500,530,721,827,923,1223,1197,800,775,672,545,109,
1220,2022-03-02,7호선,건대입구,하차,34,291,764,1632,1039,816,527,600,739,580,538,635,799,1202,867,409,310,339,154,
1221,2022-03-03,1호선,서울역,승차,312,403,1407,2118,1472,1290,1406,1640,1737,1609,1829,2353,4028,6349,2755,1822,1930,1233,257,
1222,2022-03-03,1호선,서울역,하차,203,1220,3417,7422,4085,1822,1406,1476,1532,1344,1486,1587,1950,2246,1250,779,768,565,232,
1223,2022-03-03,2호선,잠실,승차,346,1754,4456,6068,4217,2257,2151,2116,2228,2244,2480,2996,4262,5800,3509,3034,2603,2497,355,
1224,2022-03-03,2호선,잠실,하차,165,1054,2552,5768,3591,2198,2067,2181,2294,2164,2541,3109,4779,6919,5068,2574,2559,2811,804,
1225,2022-03-03,2호선,삼성,승차,167,242,548,787,750,730,1006,1144,1422,1743,2320,2738,6171,10465,5087,3464,3121,2685,319,
1226,2022-03-03,2호선,삼성,하차,204,1394,4982,12796,8172,2843,1828,1554,1804,1456,1196,1244,1513,1776,1111,485,426,396,174,
1227,2022-03-03,2호선,강남,승차,175,519,1439,2390,1805,1600,2032,2242,2753,3184,4146,4668,7743,12135,7301,5118,6601,6108,768,
1228,2022-03-03,2호선,강남,하차,436,1895,5730,12482,11399,4869,2997,2845,3263,3250,2862,2902,3924,5576,3100,1280,1061,1104,414,
1229,2022-03-03,2호선,사당,승차,390,862,2795,3872,2489,1400,1279,1301,1388,1332,1448,1594,2192,3223,1847,1447,1956,1755,265,
1230,2022-03-03,2호선,사당,하차,109,851,1679,2643,1668,1244,1240,1265,1252,1273,1702,2139,3377,5191,3641,1918,1558,2058,778,
1231,2022-03-03,2호선,신림,승차,1300,2811,7979,12560,6539,2983,2247,2335,2171,1940,1987,2332,2653,3016,1658,1359,1426,1327,241,
1232,2022-03-03,2호선,신림,하차,103,611,1306,2405,1774,1402,1401,1621,1808,1949,2769,3287,4570,9172,8614,4488,3565,4818,1719,
1233,2022-03-03,2호선,홍대입구,승차,362,732,2231,2787,1688,1059,1193,1477,1777,1949,2361,2847,3866,4967,3602,3252,4436,4642,524,
1234,2022-03-03,2호선,홍대입구,하차,91,493,1394,4020,4494,2240,2286,2386,2582,2741,2640,3261,4077,5664,3837,1510,1379,1351,679,
1235,2022-03-03,4호선,서울역,승차,135,191,456,591,377,288,342,343,348,387,435,518,1363,2040,732,468,420,346,58,
1236,2022-03-03,4호선,서울역,하차,21,348,1210,2916,1293,631,485,556,536,554,530,691,702,906,530,343,356,321,164,
1237,2022-03-03,4호선,사당,승차,346,810,2743,3280,2335,1124,919,959,876,812,828,970,1213,1542,884,736,898,821,114,
1238,2022-03-03,4호선,사당,하차,39,449,784,1460,921,622,745,752,693,659,823,1052,1703,2767,1785,992,830,889,551,
1239,2022-03-03,7호선,건대입구,승차,98,158,465,698,575,490,498,511,542,720,821,908,1325,1143,764,753,737,599,97,
1240,2022-03-03,7호선,건대입구,하차,38,253,746,1645,951,780,546,583,707,592,650,634,852,1238,800,366,329,361,169,
1241,2022-03-04,1호선,서울역,승차,306,414,1307,2104,1436,1376,1541,1733,1910,1861,2364,2955,4611,6928,3165,2012,2301,1428,371,
1242,2022-03-04,1호선,서울역,하차,193,1185,3012,7076,3904,1825,1441,1700,1710,1648,1812,1903,2698,3212,1937,1042,899,780,323,
1243,2022-03-04,2호선,잠실,승차,347,1696,4335,5900,3955,2294,2111,2264,2367,2461,3041,3572,4962,6073,3607,3225,2563,2700,375,
1244,2022-03-04,2호선,잠실,하차,164,996,2357,5578,3510,2368,2396,2293,2392,2514,2902,3405,5173,8078,4699,2655,2313,3182,922,
1245,2022-03-04,2호선,삼성,승차,176,228,512,736,688,782,938,1195,1375,1862,2683,3165,6750,10291,4420,3097,2755,2341,330,
1246,2022-03-04,2호선,삼성,하차,201,1387,4852,11816,7754,2667,1847,1715,1752,1554,1516,1280,1652,2014,1194,507,362,439,210,
1247,2022-03-04,2호선,강남,승차,190,504,1460,2157,1611,1743,2350,2682,3158,3668,4645,5384,8374,12317,7367,5081,6713,7922,958,
1248,2022-03-04,2호선,강남,하차,455,1880,5407,12682,11404,5059,3276,3141,3769,3452,3403,3847,4724,7024,3528,1385,1018,1260,523,
1249,2022-03-04,2호선,사당,승차,401,839,2819,3679,2432,1347,1220,1437,1423,1418,1577,1776,2358,3443,1980,1409,1939,2412,318,
1250,2022-03-04,2호선,사당,하차,117,776,1626,2440,1644,1291,1222,1323,1317,1340,1882,2338,3555,5818,3607,1797,1732,2296,917,
1251,2022-03-04,2호선,신림,승차,1343,2756,7804,11981,6521,2984,2329,2400,2304,2038,2336,2529,2875,3176,1882,1263,1455,1736,314,
1252,2022-03-04,2호선,신림,하차,114,641,1399,2254,1669,1483,1341,1766,1830,2009,2944,3737,4458,9728,8403,3915,3661,4941,2120,
1253,2022-03-04,2호선,홍대입구,승차,328,672,2252,2620,1580,1092,1303,1654,1828,2000,2572,3040,4011,5140,3726,3397,4923,6284,1023,
1254,2022-03-04,2호선,홍대입구,하차,103,489,1419,3752,4172,2309,2336,2520,3024,2908,3500,3917,4900,6881,4830,1754,1328,1477,771,
1255,2022-03-04,4호선,서울역,승차,135,188,418,525,407,317,341,371,372,412,484,605,1469,1946,679,385,364,322,64,
1256,2022-03-04,4호선,서울역,하차,28,331,1134,2641,1275,635,557,690,683,616,788,781,981,1176,883,477,356,497,216,
1257,2022-03-04,4호선,사당,승차,347,814,2665,3138,2150,1078,914,1038,931,865,889,1143,1472,1732,1066,713,995,1051,152,
1258,2022-03-04,4호선,사당,하차,45,410,789,1281,854,589,672,763,693,704,895,1136,1926,3158,1825,925,817,1101,533,
1259,2022-03-04,7호선,건대입구,승차,98,164,450,668,565,449,467,499,589,636,769,926,1190,1214,767,797,774,736,170,
1260,2022-03-04,7호선,건대입구,하차,32,252,721,1472,892,702,487,656,706,606,662,729,837,1390,856,392,331,342,215,
1261,2022-03-05,1호선,서울역,승차,275,247,474,780,1121,1516,1919,1838,1888,1660,1939,2049,1794,1491,1276,989,1078,779,345,
1262,2022-03-05,1호선,서울역,하차,166,720,1018,1328,1693,1716,1579,1919,1664,1548,1715,1757,1601,1160,1078,893,735,624,364,
1263,2022-03-05,2호선,잠실,승차,237,589,891,1631,1953,1991,2526,2865,3302,3558,3810,4687,4659,4007,3660,4166,3983,2356,782,
1264,2022-03-05,2호선,잠실,하차,111,738,969,1656,2673,2903,3518,4125,4296,3968,3952,4261,4042,3492,2184,1748,1842,1815,1330,
1265,2022-03-05,2호선,삼성,승차,159,128,208,288,380,534,821,1219,1553,1687,1936,2715,2806,2802,2200,2258,2004,1205,263,
1266,2022-03-05,2호선,삼성,하차,63,678,903,1611,2295,2072,2093,2370,2423,2158,1886,1767,1500,957,518,421,358,269,407,
1267,2022-03-05,2호선,강남,승차,190,337,421,634,1007,1641,2372,3154,3629,3855,4672,5187,4988,4003,2883,2936,3846,4500,3133,
1268,2022-03-05,2호선,강남,하차,248,905,1169,3093,5881,4029,3553,4009,5062,4174,3744,3944,4124,3413,1879,1266,1056,832,734,
1269,2022-03-05,2호선,사당,승차,251,454,681,1132,1247,1325,1405,1767,1724,1930,1896,1871,1749,1485,1392,1318,1356,1685,875,
1270,2022-03-05,2호선,사당,하차,96,903,576,933,1257,1398,1525,1791,1855,1642,1986,2210,2666,2267,1529,1328,1431,1414,1180,
1271,2022-03-05,2호선,신림,승차,946,1402,2043,3441,3785,3130,3107,3393,3324,2902,2811,2842,2542,2140,1578,1390,1303,1463,928,
1272,2022-03-05,2호선,신림,하차,101,466,613,1093,1296,1381,1821,2218,2532,2691,2905,3657,3891,3957,3306,2743,3250,2570,2760,
1273,2022-03-05,2호선,홍대입구,승차,258,351,483,828,955,1102,1525,2034,2366,2835,3301,4022,4367,4206,4272,4705,5582,5926,4635,
1274,2022-03-05,2호선,홍대입구,하차,107,390,374,964,1766,2276,3841,5061,5779,5871,5924,5994,5856,4763,2952,1851,1312,913,1160,
1275,2022-03-05,4호선,서울역,승차,133,93,154,211,248,252,347,388,312,310,339,336,371,319,205,198,176,149,99,
1276,2022-03-05,4호선,서울역,하차,10,191,259,397,595,556,541,678,631,603,690,669,862,511,449,361,361,366,279,
1277,2022-03-05,4호선,사당,승차,215,295,519,980,1166,1171,1167,1436,1368,1273,1146,1200,1085,918,699,722,779,799,336,
1278,2022-03-05,4호선,사당,하차,32,503,290,386,641,662,886,979,1019,962,1038,1218,1352,1300,812,708,695,679,713,
1279,2022-03-05,7호선,건대입구,승차,82,89,179,278,303,357,578,641,547,673,832,800,814,784,668,773,621,619,425,
1280,2022-03-05,7호선,건대입구,하차,23,143,295,472,509,617,685,762,867,871,804,822,843,699,493,328,258,223,292,
1281,2022-03-06,1호선,서울역,승차,130,163,232,464,678,891,1080,1229,1421,1147,1553,1672,1766,1561,1463,1194,1419,961,310,
1282,2022-03-06,1호선,서울역,하차,84,366,472,702,950,954,1001,1256,1310,1450,1494,1458,1575,1322,1355,1156,741,458,251,
1283,2022-03-06,2호선,잠실,승차,159,339,452,903,1216,1316,1576,2105,2306,2605,2689,3256,3398,3201,3459,3572,3209,1800,500,
1284,2022-03-06,2호선,잠실,하차,56,420,563,1074,2147,2111,2367,2797,3008,2861,3121,3331,2696,2372,1795,1502,1444,1223,780,
1285,2022-03-06,2호선,삼성,승차,92,120,185,192,280,326,502,805,1021,1178,1427,1875,1990,2084,1548,1894,1360,748,159,
1286,2022-03-06,2호선,삼성,하차,41,431,549,1074,1690,1483,1495,1697,1884,1471,1234,1074,929,636,413,331,248,193,237,
1287,2022-03-06,2호선,강남,승차,115,262,283,421,626,757,915,1272,1627,1765,1984,2303,2604,2601,2121,2317,2770,2907,1511,
1288,2022-03-06,2호선,강남,하차,107,433,556,1094,1966,1606,1526,2281,2671,2317,2272,2325,2591,2128,1530,1060,836,590,448,
1289,2022-03-06,2호선,사당,승차,173,241,323,573,900,905,943,1223,1253,1278,1378,1341,1351,1274,1253,1110,1062,914,340,
1290,2022-03-06,2호선,사당,하차,35,554,370,566,1007,976,1063,1125,1433,1210,1353,1493,1760,1600,1291,1110,1234,984,705,
1291,2022-03-06,2호선,신림,승차,461,824,1121,1941,2605,2236,2155,2605,2544,2167,2206,2312,2162,2234,1622,1351,1151,959,480,
1292,2022-03-06,2호선,신림,하차,58,313,434,609,1045,1159,1179,1579,1831,2054,2166,2639,2996,3165,2558,2367,2684,2104,1712,
1293,2022-03-06,2호선,홍대입구,승차,188,217,292,544,601,779,1054,1493,1770,2124,2559,3086,3581,3663,3511,3842,4271,4097,2202,
1294,2022-03-06,2호선,홍대입구,하차,44,205,257,453,1121,1661,2734,3953,4293,4309,4192,3965,3541,3074,1694,1239,964,741,674,
1295,2022-03-06,4호선,서울역,승차,53,66,90,140,182,238,203,314,261,257,293,237,250,191,226,155,144,120,38,
1296,2022-03-06,4호선,서울역,하차,13,100,131,208,332,332,360,525,511,520,540,564,636,591,540,424,347,258,149,
1297,2022-03-06,4호선,사당,승차,118,178,273,541,810,792,805,897,1032,897,948,881,791,723,642,676,649,420,165,
1298,2022-03-06,4호선,사당,하차,21,335,220,295,531,533,607,794,760,798,762,922,1007,1045,760,716,633,520,392,
1299,2022-03-06,7호선,건대입구,승차,48,52,86,167,247,221,255,328,412,376,505,480,569,581,512,668,558,408,273,
1300,2022-03-06,7호선,건대입구,하차,21,90,120,217,322,421,405,521,640,642,630,601,659,540,444,285,261,192,199,
1301,2022-03-07,1호선,서울역,승차,313,436,1721,2359,1571,1346,1413,1493,1740,1530,1896,2136,3902,6523,2688,1679,1637,998,349,
1302,2022-03-07,1호선,서울역,하차,262,1550,3411,7516,4000,1835,1372,1584,1501,1239,1407,1443,1763,2104,1330,772,584,431,306,
1303,2022-03-07,2호선,잠실,승차,401,1701,4491,6353,4221,2239,2004,2129,2223,2080,2364,2721,3938,5512,3231,2381,2165,1759,476,
1304,2022-03-07,2호선,잠실,하차,170,1137,2483,5549,3006,1872,2039,2041,2143,2158,2440,2941,4578,7172,4401,2698,2308,1876,1133,
1305,2022-03-07,2호선,삼성,승차,131,224,569,768,731,772,989,1046,1320,1643,2362,2660,6188,10357,5239,3456,2683,1731,452,
1306,2022-03-07,2호선,삼성,하차,209,1465,5226,12738,8114,2641,1593,1279,1740,1320,1281,1167,1329,1499,838,483,353,290,263,
1307,2022-03-07,2호선,강남,승차,149,488,1404,2490,1799,1754,2161,2640,3086,3302,4198,4748,7739,12284,7635,5132,5537,4770,1787,
1308,2022-03-07,2호선,강남,하차,424,2012,5719,13354,12165,4799,3037,2653,3612,2981,2683,3158,3648,5227,2980,1255,957,751,520,
1309,2022-03-07,2호선,사당,승차,376,881,2620,4030,2615,1309,1133,1334,1338,1312,1384,1638,2118,3271,1765,1309,1441,1242,496,
1310,2022-03-07,2호선,사당,하차,138,908,1817,2672,1757,1241,1218,1255,1192,1244,1711,2051,2983,4991,3494,1825,1609,1430,1043,
1311,2022-03-07,2호선,신림,승차,1378,2956,8177,12169,6231,2758,2154,2230,2135,1925,2029,2276,2490,2784,1519,1246,1091,966,475,
1312,2022-03-07,2호선,신림,하차,117,610,1283,2399,1583,1378,1379,1559,1722,1870,2893,3266,4645,9618,7831,4192,3740,3197,2281,
1313,2022-03-07,2호선,홍대입구,승차,366,800,2276,2721,1587,1101,1239,1677,1780,1819,2265,2763,3656,5000,3683,3071,3328,3635,1526,
1314,2022-03-07,2호선,홍대입구,하차,107,505,1341,4023,4595,2323,2122,2447,2598,2511,2637,2960,3800,5577,3482,1582,1166,961,785,
1315,2022-03-07,4호선,서울역,승차,147,176,462,615,359,299,303,363,345,345,396,512,1439,2077,714,452,344,271,71,
1316,2022-03-07,4호선,서울역,하차,21,427,1222,2906,1255,635,497,564,568,504,482,712,714,805,564,412,301,274,195,
1317,2022-03-07,4호선,사당,승차,329,813,2496,3411,2361,1112,834,871,946,737,856,996,1123,1515,926,634,686,570,211,
1318,2022-03-07,4호선,사당,하차,51,483,851,1412,956,651,648,697,673,679,828,1067,1620,2784,1784,946,798,696,545,
1319,2022-03-07,7호선,건대입구,승차,101,172,472,759,534,420,508,447,567,593,760,994,1247,1126,703,578,555,483,245,
1320,2022-03-07,7호선,건대입구,하차,40,261,738,1581,921,605,567,583,718,631,585,647,735,1189,856,367,305,270,226,
1321,2022-03-08,1호선,서울역,승차,334,426,1388,2137,1421,1205,1424,1625,1722,1601,1941,2389,4175,6728,2921,2002,1871,1467,522,
1322,2022-03-08,1호선,서울역,하차,186,1178,3072,7041,3902,1716,1400,1384,1566,1381,1560,1739,2333,2612,1504,1034,941,588,470,
1323,2022-03-08,2호선,잠실,승차,362,1736,4559,6250,4079,2312,2001,2241,2283,2238,2569,3018,4564,6297,3785,3279,2509,2312,800,
1324,2022-03-08,2호선,잠실,하차,163,1012,2483,5515,3484,2281,2112,2177,2272,2375,2694,3170,5057,7675,4684,3042,2456,2339,1929,
1325,2022-03-08,2호선,삼성,승차,182,237,543,729,724,800,1078,1209,1344,1728,2346,2929,6176,10220,4927,3286,2714,2201,758,
1326,2022-03-08,2호선,삼성,하차,212,1371,4949,12509,7900,2750,1661,1516,1783,1319,1342,1209,1555,1968,1166,494,394,306,467,
